encora_id,show_name,tour_name,date,master,nft_status,cast,encora_link
3,Wicked,Broadway,2014-08-18,SJ Bernly,Not NFT,"Christine Dwyer ( Elphaba), Jenni Barber ( Glinda), Justin Guarini ( Fiyero), Tom McGowan ( The Wizard), Mary Testa ( Madame Morrible), Kelli Barrett ( Nessarose), Michael Wartella ( Boq), K. Todd Freeman ( Doctor Dillamond)",https://encora.it/recordings/3
7,Wicked,Broadway,2008-08-05,broadwayspunk,Not NFT,"Kerry Ellis ( Elphaba), Kendra Kassebaum ( Glinda), Aaron Tveit ( Fiyero), P.J. Benjamin ( The Wizard), Jayne Houdyshell ( Madame Morrible), Cristy Candler ( Nessarose), Ben Liebert ( Boq), Steven Skybell ( Doctor Dillamond)",https://encora.it/recordings/7
8,Wicked,Broadway,2015-02-01,SunsetBlvd79,Not NFT,"Lilli Cooper ( Elphaba), Kara Lindsay ( Glinda), Jerad Bortz ( Fiyero), Brian Munn ( The Wizard), Kathy Fitzgerald ( Madame Morrible), Catherine Charlebois ( Nessarose), Robin de Jesús ( Boq), Timothy Britten Parker ( Doctor Dillamond)",https://encora.it/recordings/8
11,Wicked,Broadway,2015-01-02,SJ Bernly,Not NFT,"Caroline Bowman ( Elphaba), Kara Lindsay ( Glinda), Matt Shingledecker ( Fiyero), Tom McGowan ( The Wizard), Kathy Fitzgerald ( Madame Morrible), Kelli Barrett ( Nessarose), Robin de Jesús ( Boq), Timothy Britten Parker ( Doctor Dillamond)",https://encora.it/recordings/11
14,Wicked,Broadway,2004-07-18,Unknown,Not NFT,"Idina Menzel ( Elphaba), Kristin Chenoweth ( Glinda), Norbert Leo Butz ( Fiyero), Sean McCourt ( The Wizard), Carole Shelley ( Madame Morrible), Michelle Federer ( Nessarose), Randy Harrison ( Boq), William Youmans ( Doctor Dillamond)",https://encora.it/recordings/14
16,Wicked,Broadway,2016-06-21,SJ Bernly,2016-11-30,"Rachel Tucker ( Elphaba), Ginna Claire Mason ( Glinda), Jonah Platt ( Fiyero), Peter Scolari ( The Wizard), Judy Kaye ( Madame Morrible), Dawn E. Cantwell ( Nessarose), Zachary Noah Piser ( Boq), Michael Genet ( Doctor Dillamond), Christopher King ( Chistery), Sterling Masters ( Witch's Mother), William Ryall ( Witch's Father), William Ryall ( Ozian Official)",https://encora.it/recordings/16
17,Wicked,Broadway,2016-06-25,SunsetBlvd79,Not NFT,"Rachel Tucker ( Elphaba), Carrie St. Louis ( Glinda), Jonah Platt ( Fiyero), Peter Scolari ( The Wizard), Judy Kaye ( Madame Morrible), Dawn E. Cantwell ( Nessarose), Zachary Noah Piser ( Boq), Michael Genet ( Doctor Dillamond)",https://encora.it/recordings/17
23,Wicked,Broadway,2008-10-31,Unknown,Not NFT,"Kerry Ellis ( Elphaba), Kendra Kassebaum ( Glinda), Aaron Tveit ( Fiyero), P.J. Benjamin ( The Wizard), Jayne Houdyshell ( Madame Morrible), Cristy Candler ( Nessarose), Ben Liebert ( Boq), Timothy Britten Parker ( Doctor Dillamond)",https://encora.it/recordings/23
37,Wicked,Scheveningen,2013-01-10,Unknown,Not NFT,"Willemijn Verkaik ( Elphaba), Céline Purcell ( Glinda), Ferry Doedens ( Fiyero), Bill van Dijk ( The Wizard), Pamela Teves ( Madame Morrible), Christanne de Bruijn ( Nessarose), Niels Jacobs ( Boq), Jochem Feste Roozemond ( Doctor Dillamond)",https://encora.it/recordings/37
202,Pippin,First Broadway Revival,2013-07-13,SunsetBlvd79,Not NFT,"Patina Miller ( Leading Player), Matthew James Thomas ( Pippin), Charlotte d'Amboise ( Fastrada), Andrea Martin ( Berthe), Terrence Mann ( Charles), Rachel Bay Jones ( Catherine), Erik Altemus ( Lewis), Ashton Woerz ( Theo)",https://encora.it/recordings/202
